ID,Title,Rating
51732,Собака забралась на самую высокую пирамиду Египта,0.5
51732,Собака забралась на самую высокую пирамиду Египта,0.5
51731,У ЕГЭ не будет альтернативы,0.5
51730,Героев «Гарри Поттера» превратили в котов,0.5
51729,Водительские права предложили выдавать с 16 лет,0.5
51609,Go по работам: основательница благотворительного проекта «Путь домой» про осознанную помощь, ценность жизни и ответственность за тех, кого мы приручили,0.5
51725,В России вырос спрос на тарологов и астрологов,0.5
51722,Райану Рейнольдсу и Хью Джекману предложили стать ведущими «Оскара»,0.5
51721,Над Россией летит самая яркая комета за 13 лет,0.5
51716,Спектакль окончен: рецензия на фильм «Джокер: Безумие на двоих»,0.5
51713,Роман с призраком: рецензия на фильм «Сидони в Японии»,0.5
51709,В России могут запретить выступления животных в цирке,0.5
51707,Идёт работа над новым сериалом про Штирлица,0.5
51706,Котят нашли в коробке с чипсами,0.5
51704,В октябре можно будет наблюдать суперлуние,0.5
51731,У ЕГЭ не будет альтернативы,0.5
51702,Одноклассники запускают уникальное научпоп-шоу про садоводство,0.5
51698,Измени своё лицо: рецензия на фильм «Другой человек»,0.5
51690,У «Теории большого взрыва» появится спин-офф,0.5
51730,Героев «Гарри Поттера» превратили в котов,0.5
51693,В Риме за посещение фонтана Треви будут брать плату,0.5
51691,Tesla выпустит беспилотные такси,0.5
51729,Водительские права предложили выдавать с 16 лет,0.5
51688,Вышел ещё один трейлер «Конклава» с Рэйфом Файнсом,0.5
51609,Go по работам: основательница благотворительного проекта «Путь домой» про осознанную помощь, ценность жизни и ответственность за тех, кого мы приручили,0.5
51679,Британцы снимут спин-офф «Гордости и предубеждения»,0.5
51725,В России вырос спрос на тарологов и астрологов,0.5
51678,В России выпустили книгу о пет-френдли культуре,0.5
51722,Райану Рейнольдсу и Хью Джекману предложили стать ведущими «Оскара»,0.5
51683,Северное сияние наблюдали по всей России,0.5
51676,Составили рейтинг лучших хорроров всех времён,0.5
51721,Над Россией летит самая яркая комета за 13 лет,0.5
51673,ВКонтакте отмечает 18-летие,0.5
51716,Спектакль окончен: рецензия на фильм «Джокер: Безумие на двоих»,0.5
51713,Роман с призраком: рецензия на фильм «Сидони в Японии»,0.5
51665,Планета против: рецензия на фильм «Говорит Земля!»,0.5
51662,В Японии выпустили самый маленький кубик Рубика в истории,0.5
51709,В России могут запретить выступления животных в цирке,0.5
51661,Вышел дебютный трейлер байопика про Боба Дилана,0.5
51707,Идёт работа над новым сериалом про Штирлица,0.5
51706,Котят нашли в коробке с чипсами,0.5
51660,Роман «Йеллоуфейс» Ребекки Куанг экранизируют,0.5
51704,В октябре можно будет наблюдать суперлуние,0.5
51659,В новом трейлере «Моаны 2» герои противостоят богине,0.5
51702,Одноклассники запускают уникальное научпоп-шоу про садоводство,0.5
51657,Объявлена дата премьеры экранизации «Ста лет одиночества»,0.5
51698,Измени своё лицо: рецензия на фильм «Другой человек»,0.5
51647,Турецкие пастухи требуют от фермеров оплачивать интернет для просмотра TikTok,0.5
51690,У «Теории большого взрыва» появится спин-офф,0.5
51643,Москва возглавила рейтинг самых матерящихся городов страны,0.5
51634,Нейросеть помогла сделать трейлер игровой версии «Принцессы Мононоке»,0.5
51693,В Риме за посещение фонтана Треви будут брать плату,0.5
51633,Шоу «Натальная карта» запустило сервис с предсказаниями,0.5
51691,Tesla выпустит беспилотные такси,0.5
51632,Энн Хэтэуэй подтвердила участие в третьей части «Дневников принцессы»,0.5
51688,Вышел ещё один трейлер «Конклава» с Рэйфом Файнсом,0.5
51631,В России может появиться студенческая ипотека,0.5
51679,Британцы снимут спин-офф «Гордости и предубеждения»,0.5
51630,В октябре ожидаются два звездопада,0.5
51678,В России выпустили книгу о пет-френдли культуре,0.5
51629,В России планируют ввести штрафы за оскорбление учителей,0.5
51683,Северное сияние наблюдали по всей России,0.5
51620,Над Россией зажглось северное сияние,0.5
51676,Составили рейтинг лучших хорроров всех времён,0.5
51615,Смотрим новый трейлер фильма «Паддингтон в Перу»,0.5
51673,ВКонтакте отмечает 18-летие,0.5
51614,Большой театр теперь продаёт билеты только по паспортам,0.5
51665,Планета против: рецензия на фильм «Говорит Земля!»,0.5
51613,В Нью-Йорке крысам будут давать контрацептивы для сокращения их численности,0.5
51662,В Японии выпустили самый маленький кубик Рубика в истории,0.5
51612,Эминем станет дедушкой в следующем году,0.5
51661,Вышел дебютный трейлер байопика про Боба Дилана,0.5
51598,Опубликован трейлер фильма «Джой» об изобретении ЭКО,0.5
